id	time	type	time1	time2	time3	time4	time5	time6
1023	2	Siso	5585	11784	14398	20549	21859	16303
1023	3	Linear	7455	11575	12803	16884	23414	15872
1023	4	Siso	6556	12256	14110	49620	22309	21568
1009	1	Siso	5321	10990	16274	44413	19255	16142
1009	2	Siso	6583	13996	13028	24253	19028	17188
1009	3	Linear	6706	11788	13240	23868	18910	15674
1009	4	Linear	33391	12528	13733	17129	23714	17873
1031	1	Siso	10748	12245	12810	19357	23250	34647
1031	2	Linear	33597	12459	17709	18625	18112	44826
1031	3	Siso	9158	12544	17370	43921	19761	48149
1031	4	Linear	31943	11787	12734	17792	18868	15856
1024	1	Linear	4910	23443	13512	18765	21600	46193
1024	2	Siso	6348	12247	14699	45207	18442	45630
1024	3	Linear	7713	11832	14796	21785	19389	16726
1024	4	Siso	6083	12814	13485	17323	20470	21396
1017	1	Linear	11985	11885	13466	21501	19609	20497
1017	2	Siso	7277	12422	44674	45082	17638	16820
1017	3	Siso	11043	12752	14793	17077	23795	15963
1017	4	Linear	8190	11804	12860	17708	19711	15374
1032	1	Siso	9770	11791	12758	44114	19233	16568
1032	2	Linear	7584	12181	19300	17452	19290	17131
1032	3	Siso	9933	16885	14850	44603	18520	15534
1032	4	Linear	7608	11335	13528	21324	20699	21212
1025	1	Linear	22955	11412	14216	17516	44398	16009
1025	2	Siso	11057	13635	14183	45102	19634	17704
1025	3	Siso	6303	12532	13737	23797	17019	16728
1025	4	Linear	6853	10844	13603	20003	19948	16533
1018	1	Siso	5503	18604	14007	25276	28118	17095
1018	2	Linear	10749	12019	18808	21799	20367	43509
1018	3	Siso	6436	12301	16534	46914	18406	17114
1018	4	Linear	8988	11250	13545	17630	23425	NA
1033	1	Linear	15699	56113	12950	34838	18527	15949
1033	2	Siso	7589	12334	13237	17204	30063	21275
1033	3	Linear	11046	12340	17330	17451	20316	16399
1033	4	Siso	15625	12863	23633	18991	22605	15652
1026	1	Linear	21786	12612	12921	21791	22945	17629
1026	2	Linear	7011	12696	13160	20012	17915	15250
1026	3	Siso	6579	11489	20776	17432	18574	15425
1026	4	Siso	6868	12211	18904	17107	19485	20517
1019	1	Linear	4849	56322	13731	16618	18739	15829
1019	2	Siso	5969	13349	13387	38248	18682	32997
1019	3	Linear	6125	11950	18748	19492	18432	15858
1019	4	Siso	7764	12075	19957	27115	18642	15853
1034	1	Siso	5338	51030	20574	17240	19535	16543
1034	2	Linear	10411	12455	13054	16783	20656	17300
1034	3	Siso	7079	11575	14554	19041	22366	16146
1034	4	Linear	7441	12584	16143	16991	19416	14919
1027	1	Linear	10417	12278	13828	19577	23925	16688
1027	2	Siso	7312	12568	13829	20790	22535	15452
1027	3	Linear	6085	11332	19326	18245	22278	21029
1027	4	Siso	7780	12475	13415	44050	NA	NA
1035	1	Linear	4243	20809	18591	18757	19072	16353
1035	2	Linear	5956	10842	13340	16610	18219	20430
1035	3	Siso	7188	12940	14182	28004	18413	15454
1035	4	Siso	6287	17891	13581	18656	19165	17359
1028	1	Linear	28418	12080	12991	23542	17965	16612
1028	2	Siso	6850	11550	18356	17088	17521	20748
1028	3	Siso	11493	12455	15158	44935	20091	15656
1028	4	Linear	7571	11680	13652	19318	17828	16127
1036	1	Linear	31586	11391	13425	16538	22499	15029
1036	2	Siso	7642	12077	14871	17706	20425	17309
1036	3	Siso	6420	12623	13619	49906	22943	16601
1036	4	Linear	12461	11035	14142	17705	19742	15999
1029	1	Linear	26899	16359	13990	16531	19072	16990
1029	2	Linear	10189	13169	13051	17896	21022	15578
1029	3	Siso	7081	12556	14465	17971	21950	22240
1029	4	Siso	5978	11870	13913	22142	19069	19193
1037	1	Siso	4645	21102	13575	18660	17425	22638
1037	2	Linear	7268	14124	14191	22787	17332	15197
1037	3	Linear	6825	11848	23145	16881	24099	21149
1037	4	Siso	6141	12450	18462	20436	23659	16162
1038	1	Linear	4998	23202	13306	28497	19417	17724
1038	2	Linear	6735	14986	15847	19056	18231	15904
1038	3	Siso	6333	11701	13972	48594	21776	16114
1038	4	Siso	6262	12521	13433	16942	28752	16462
